startupName,description,WebsiteLink
212,"Doğan Holding iştiraki, medya ve teknoloji yatırımları",https://212.vc/
101Nokta,"Çıkış noktası basitliği yakalamak olan Ya Sen, belli konular etrafında spesifik sohbet ederek kişilerin birbirini tanımasına yardımcı olan ve kullanıcılarına samimi bir sohbet vaat eden, yeni bir arkadaş edinmek isteyen herkesin keyifle kullanacağı bir uygulamadır.",https://101otoekspertiz.com/
3DRUBBER," 3DRubber, Big Bang 2017’de Top 20’de yer alarak, toplam 50 Bin TL değerinde ödül ve yatırıma layık görülmüştür. Oyun sektöründe masaüstü ve mobil oyun platformlarına kıyasla yeni bir alan olan giyilebilir saatler için oyunlar ve bununla birlikte mobil oyunlar ve akıllı saatlerin birlikte kullanılabileceği çapraz platform oyunlar geliştirmekteyiz. Özellikle oyun sektöründe akıllı saatlerin iyi bir teknolojik altyapısı olmasına rağmen bildirim göstermekten çok da öteye gidemeyen işlevsizliğinin önüne geçerek oyun sektörünü farklı bir noktaya çekmeyi hedefliyoruz. Kozalak, orman yangınlarında erken tespit ve uyarı sağlayan, hava kalitesi ölçen, zehirli, yanıcı ve patlayıcı gaz tespiti yapan bir IoT tabanlı bir sistem çözümüdür. CO2, ısı, nem ve barometrik sensörlerinden aldığı veriyi yorumlayarak, modülün 50m yarıçapındaki bölgede büyümeye başlayan bir yangını tespit etmekte ve ilgili yetkililere haber vererek,yangın büyümeden müdahale imkanı sağlamaktadır.",https://itucekirdek.com/portfolio_page/3drubber/
3TS Capital Partners,"Yatırım verisi, pazar istatistikleri, ekosistem haritalama",https://3tscapital.com/
3ToGo," Numondial Digital telefon, faks, SMS, e-posta ve yeni sosyal medya iletişimini, video konferansı, chatbot'u, IoT'yi kapsayan çok kanallı bir iletişim platformu geliştirmiştir. KYC, ses biyomarklarından duygu tespiti (dil ve içerikten bağımsız), çağrı merkezleri için her şeyi bilen aracı özelliği, çok kanallı mesajlaşma yoluyla yeni ödeme yöntemleri gibi bazı AI özellikleri kullanmaktadır.",https://btm.istanbul/girisimler/3togo-1
500 Istanbul,"Orta ve Doğu Avrupa odaklı yatırım, Türkiye dahil",https://500.co/istanbul
506.ai,Geliştiricilere özel kod ve bulut güvenliği çözümü,https://www.506.ai/en/companygpt
ABİDOS," Nasıl Çalışıyor? Müşteri, cep telefonundan taksi rehberini indiriyor. Taksi rehberinden taksi ihtiyacı olduğu zaman taksi çağır butonuna basıyor. Müsait durumda bulunan taksi şoförü, “yeni müşteriniz var” butonuyla müşterinin çağrısını onayladığı zaman adresi, telefonu ve konumu tablet cihazda görünüyor. Aynı zamanda müşterinin telefonunda gelen aracın plakası, şoför adı, araç modeli ve konumu görünüyor. Cihaz navigasyon özellikleri de taşıdığı için Müşterinin konumunu gösterme ve en kısa güzergâhı belirleme imkânı sağlıyor. Müşteri de taksi de adım adım birbirinin konumunu izleyebiliyor. Böylece adres bulamama, gereksiz bekleme, zaman kaybı ve benzin israfı yaşanmıyor. Yolculuk bittiğinde müşteri dilerse memnuniyet derecesini uygulamaya işleyebiliyor.  Akıllı Durak Yönetimi Durak Merkezine telefon ile gelen taksi talepleri durak bölgesinde ise sıradaki araca, durak bölgesi dışında ise müşteriye en yakın taksiye durak görevlisi tarafından gönderiliyor. Sistem yolcuyu kabul eden aracı durak sırasında ise otomatik olarak sıra dışına atıyor. Diğer araçların sırasını değiştiriyor. Devamlı müşterilerin adresleri sistemde tanımlı olduğu için iş başına taksi yönlendirme süresi sadece 5 saniye sürüyor. Durak yöneticisi ekranında yolcuya yönlendirilen araçları, alınan yolcuları ve tamamlanan işleri anlık olarak görebiliyor. Taksi Rehberi, müşteri bilgi sistemi oluşturmaya da uygun. Sistemde kayıt oluşturulduğu andan itibaren durak yöneticisi, kayıt numarasından ya da firma adı, telefon numarası veya şahıs ismi girerek sistemde arama yaptığında müşterinin kayıtlı konum, telefon, adres bilgilerini ve kaydedilen adres tarifi ile özel notlarınızı ekranda görebilir. Taksi göndermek isterse tek tuşa basmak yeterli. NepTune, yapay zeka destekli, çocukların çeşitli enstrümanları eğlenceli ve etkileşimli bir şekilde öğrenmelerini sağlayan, oyunlaştırılmış müzik eğitim uygulamasıdır. GeenOS (Geen Operating System), hücreler için yeni nesil bir işletim sistemidir.",https://itucekirdek.com/portfolio_page/abidos/
ACROME,"Endüstriyel robotların bu önemine rağmen, endüstriyel robot kullanımını zorlaştıran hatta bazı durumlarda imkânsız hale getiren engeller mevcuttur. En önemli engellerden biri endüstriyel robotların yüksek maliyetli otomasyon araçları olmalarıdır. Gerekli olan yatırım maliyetlidir ve çoğu durumda işletmelerin satın alma gücünü aşmaktadır. Yatırım maliyetlerinin yüksekliğine karşılık, robotların programlanma maliyeti, maliyetler arasında en büyük paya sahiptir. Bir diğer nokta da robotların insanlarla beraber çalışamamalarıdır. Robotların iş güvenliği açısından güvenlik kafesi ardında çalışmaları ekstra maliyetlere yol açmakta ve esnek olmayan bir üretimin yapılmasına neden olmaktadır. Günümüz endüstriyel robot teknolojisi bu nedenlerden dolayı erişimi ve ulaşılabilirliği zor bir teknolojidir. ACROME ekibi endüstriyel robot teknolojisini daha ulaşılabilir, erişimi daha kolay bir teknoloji haline getirmek amacıyla yola çıktı. Kolay satın alınabilir, herhangi bir teknik altyapıya sahip olmadan da kolayca programlanabilen, insanla beraber çalışabilen ve bunun da ötesinde insanla iletişim içinde olan endüstriyel robotlar geliştirmeyi hedefliyor. Sanayi işletmelerini endüstriyel robotlar gibi yüksek teknoloji araçlarıyla tanıştırmak, ülke sanayinin teknolojik altyapısını güçlendirmenin yanında global pazarda rekabet gücünü artırmaktır. ACROME veri toplama ve enstrümantasyon çözümlerinde bir dünya lideri olan National Instruments ile de iş ortağıdır. ACROME, National Instruments ile yaptığı işbirliği kapsamında Mekatronik Eğitim ve Araştırma Kitleri çalışması yürütüyor. THY’nin kaliteli ve uygun maliyetle uçak ve uçak komponenti bakımları ile teknik eğitimlerinin yapıldığı yeni oluşumu TURKISH HABOM bünyesinde başlatılan ilk test cihazı yazılım geliştirme projesi ACROME tarafından yapılıyor. Yine Vestel tarafından imal edilen parçanın doğru imal edilip edilmediğini otomatik olarak kontrol eden Görsel Kontrol Sisteminin Robot aksamı da ACROME tarafından geliştiriliyor. About This Project  RePG, kendi lisansı ve kendi patentleri ile yenilikçi yenilenebilir enerji sistemleri alanında faaliyet göstermektedir. Konut ve Endüstriyel uygulamalar için bilinen teknikte daha önce hiç kullanılmamış yılın büyük bir kısmı çalışabilen yenilenebilir enerji kaynağına dayalı elektrik üretimi, elektrikli ve hibrid araçlar için yenilenebilir enerji kaynağına dayalı menzil uzatıcı, konvansiyonel araçlar için yenilenebilir enerji kaynağına dayalı yakıt sistemler, kara ve deniz taşıtları için tahrik sistemleri, konut ve taşıtlar için ısıtma – soğutma – hvac ve iklimlendirme sistemleri, yenilenebilir enerji kaynağına dayalı tatlı su üretim sistemlerinin üretimi ve uygulamalarını gerçekleştirmektedir.",https://www.acrome.net
ACT Venture Partners,"TTO hizmeti, AR-GE ticarileştirme, yatırım",https://act.vc/
ACTİNSPORTS,"2019 Mart ayında kurulan BlindLook, restoranları ve menülerini görme engelliler için erişilebilir kılarak herkes için engelsiz bir dünya inşa ediyor.",www.actinsports.com
ADD Venture,"Seed ve erken aşama yatırımlar, danışmanlık",https://addventure.vc/
ADLEMA,,https://adlema.com/
