"startupName","description","WebsiteLink"
"HydroBorPEM","HydroBorPEM, hidrojen yakıt hücreli araçlar için 6 kat verimli kompozit yakıt hücresi membranı ve yakıt hücresi yığını üretmektedir.","https://hydroborpem.com/"
"BataryaZEKASI","BataryaZEKASI; elektrikli araç üreticileri ve filo sahipleri için araçların batarya bakım maliyetlerinin düşürülmesi amacıyla bataryaların sağlık durumlarını (kapasitelerini) izleyen ve raporlayan yapay zeka tabanlı bir bulut platformudur.","www.bataryazekasi.com"
"Tamamliyo.com","Tamamliyo.com kısaca açıklamak gerekirse ; tek bir aramada bir çok sigorta şirketini ve ürünü karşılaştırarak ihtiyacınız olan sağlık sigortasını bulmanızı sağlıyor. 8 kişilik bir ekiple girişimcilik serüvenine başlayan tamamliyo.com’un amacı şeffaf ve ulaşılabilir dijital sigortacılık platformu olmak.","https://www.tamamliyo.com/"
"SPORTS & MERITS","Spor yapma alışkanlıklarına yepyeni bir anlayış getirerek tek bir spor salonuna bağlı kalmak mecburiyetine son veren Sports&Merits, şu anda İstanbul, İzmir ve Ankara’da, yakında tüm Türkiye’de çalışanlara, anlaşmalı spor merkezine tek üyelikle yüzlerce aktiviteye imkanı sağlayan sistemiyle devrim yaratıyor. Türkiye’nin en esnek spor merkezi olarak, yoga, fitness, yüzme, kick box, dans gibi yüzlerce aktivite yapma imkanını, istenen gün ve saatte, anlaşmalı lokasyonlarda tek üyelikle uygun fiyata sunan Sports & Merits, yoğun şehir temposunda spor yapma ritüelini keyife dönüştürüyor. Sabah evinizin yakınında streching, öğlen ofisiniz çevresinde kardiyo, akşam katılacağınız davet öncesinde spinning, ya da iş seyahati için şehir dışında, dilediğiniz üye spor merkezinde, günde, saatte, tek merkezin imkanlarıyla sınırlı kalmak istemeyenlerin hayatını kolaylaştırıyor. Sabah evinizin yakınında streching, öğlen ofisiniz çevresinde kardiyo, akşam katılacağınız davet öncesinde spinning, ya da iş seyahati için şehir dışında, dilediğiniz üye spor merkezinde, günde, saatte, tek merkezin imkanlarıyla sınırlı kalmak istemeyenlerin hayatını kolaylaştırıyor.","https://www.sportsandmerits.com/"
"Bugbounter","Pushouse,e-ticaret firmalarına kâr ve sirkülasyon artırıcı çözümler sunan yeni nesil bir Whatsapp marketing sistemidir.","www.bugbounter.com"
"REPORTQL","Futbolda başarıya, doğru yer ve zamanda, doğru aksiyonu alarak ulaşabiliriz. Algı ve bilişsel becerisi gelişmiş yüksek teknik kapasiteli oyuncuların seviyesine ulaşmak için her teknik üzerinde ayrı ayrı ortalama 10 bin saat çalışmak gerekir. Günümüzde etkin çalışma ortamına ulaşmak ve ihtiyaç duyulan motivasyonun sürekliliğini sağlamak, profesyonel ve amatör sporcular için çok çok zorlayıcıdır. Çözüm olarak geliştirdiğimiz SENSIBALL VR, futbolcuların teknik ve bilişsel yeteneklerini analiz eder. Analiz sonucuna göre kişiye özgü gelişim programı önerir. Size, platformdaki ve dünyadaki diğer oyuncularla gelişiminizi kıyaslama imkanı yaratarak yenilikçi ve sayısız antrenman çeşitliliği ile birlikte minimum zamanda, maksimum gelişim sağlayabileceğiniz benzersiz bir sanal futbol dünyası sunar.","https://www.reportql.com/tr/"
"PUSHOUSE","“Devrimsel bir bulut servisi olan Databin ile verilerinizi kolayca gerçek zamanlı olarak kaydedin, koruyun ve analiz edin. Veri bütünlüğü konusunda kanıt sağlama konusunda bir ilk olan Databin, şirketlerin Kişisel Verilerin Korunması Kanunu (KVKK), GDPR, ISO 27001, 5651 S.K. gibi çeşitli kanun ve regülasyon gereklerinin karşılanmasını sağlar. Performans, kolay kullanım ve personel üretkenlik raporları gibi benzersiz analitik özellikleriyle birçok ödüllü platform ile artık veri bazlı karar alma mekanizmalarına herkes ulaşabilecek.","https://www.pushouse.com/"
"EXAR"," Bu cihazların en kritik parçası aküleridir. Pahalı olan bu akülerden maksimum fayda sağlamak için iki temel kıstas vardır.","https://exar.com.tr/"
"TRAKTS","Akülerin ömrünün uzun olması, Akülerin arızalanmaması.  Geliştirdiğimiz TrakTS sistemi ile aküden 7/24 bilgi topluyoruz. Problemler arıza boyutuna ulaşmadan sizi uyarıyoruz. Buna ek olarak aküye yüksek frekanslı elektronik sinyaller uygulayarak akünün kimyasal yapısındaki bozulmayı yavaşlatıyoruz. Akü ömrünü ortalama 1,5 yıl uzatıyoruz. Sektörde oyunun kurallarını değiştiren bu teknolojiye akü fiyatının %3’ü bir maliyetle erişebileceksiniz.","https://itucekirdek.com/portfolio_page/trakts/"
"BOLY","Boly, sahaları keşfedip sporcularla bir araya gelebileceğin, performansını takip ederken oynadıkça ödüller kazanabileceğin ve spor deneyimini dönüştüren bir mobil uygulamadır.","https://www.boly.app/"
